Diretor, ator1, ator2, ator3, ator 4, nota
Paul (II) Morrison,Sam Smith,Leagh Conwell,Dominic Barklem,Jo Stone-Fewings, 7.1
Tom DiCillo,Steve Buscemi,Catherine Keener,Dermot Mulroney,Danielle von Zerneck, 7.6
Don Coscarelli,A. Michael Baldwin,Reggie Bannister,Bill Thornbury,Heidi Marnhout, 5.7
Umberto Lenzi,Maurizio Merli,John Saxon,Barry Sullivan,Elio Zamuto, 7.2
Charles Haine,Sterling Beaumon,Dax Speakman,Jeremy Davidson,Nicole Ansari-Cox, 7.2
Rob Cohen,Paul Walker,Vin Diesel,Michelle Rodriguez,Jordana Brewster, 6.7
Justin (II) Lin,Vin Diesel,Paul Walker,Jordana Brewster,Michelle Rodriguez, 6.6
James Wan,Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez, 7.3
Busby Berkeley,Franchot Tone,Ann Sothern,Ruth Hussey,Lee Bowman, 6.2
Melville W. Brown,Reginald Denny,Barbara Worth,Claude Gillingwater,Armand Kaliz, 3.5
Norman Taurog,Lige Conley,Otto Fries,Ruth Hiatt,John Rand, 5.4
Charles Lamont,Daphne Pollard,Norma Drew,Walter Merrill,Billy Gilbert, 5.4
Justin (II) Lin,Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster, 7.2
Justin (II) Lin,Vin Diesel,Paul Walker,Jordana Brewster,Tyrese Gibson, 7.3
John Singleton,Paul Walker,Tyrese Gibson,Eva Mendes,Cole Hauser, 5.8
Jim (II) Powers,Nick East,Mickey G.,Dave Hardman,Rafe, 6.8
Justin (II) Lin,Lucas Black,Damien Marzette,Trula M. Marcus,Zachery Ty Bryan, 6.0
John Ireland,John reland,Dorothy Malone,Bruce Carlisle,ris Adrian, 5.3
Jason Friedberg,Alex Ashbaugh,Dale Pavinski,Lili Mirojnick,Andrea Navedo, 4.0
David Betances,Melina Lizette,Kenyetta Lethridge,Steven Bauer,Olivia Brown, 3.6
Léa Pool,Piper Perabo,Jessica Paré,Mischa Barton,Jackie Burroughs, 7.0
Edwin L. Marin,Robert Montgomery,Rosalind Russell,Reginald Owen,Ralph Morgan, 6.2
Laurent Bouzereau,John Carpenter,Bill Phillips,Richard Kobritz,Keith Gordon, 5.8
Gordon Parry,Stanley Holloway,Kay Kendall,Brian Reece,Joan Young, 5.8
Fred C. Newmeyer,Miriam Hopkins,Carole Lombard,Frank Morgan,Charles Starrett, 6.6
Cristian E. Gutierrez,Ali Blaze,Samuel Bocock,Jermaine Brantley,Neil Brown Jr., 6.6
György Szomjas, ános Derzsi,Margó Kiwán,ldi Deim,Péter Andorai, 6.0
Tim Oliehoek,Jack Wouterse,Kurt Rogiers,Bracha van Doesburgh,Jaak Van Assche, 6.2
Choon-sik Kim,Joo-hyun Jo,Se-hong Jeon,Gwang-il Lee,Tae-seong Park, 5.8
Carlo Lastricati,Gina Lollobrigida,Vittorio De Sica,Dale Robertson,Amedeo Nazzari, 6.1
Sidney J. Furie,Casper Van Dien,Danielle Brett,Joseph Griffin,Catherine Oxenberg, 3.1
Mathias Fain,Josh Laster,Elvis Winterbottom,Blaine Saunders,Andy Martinez Jr., 7.0
John (III) Clark,Terry Serio,Deborah Conway,Max Cullen,Richard Moir, 5.9
Harvey S. Laidman,James Brolin,Rip Torn,Jennifer Warren,Melanie Griffith, 5.4
Kyle Leighton Dresser,Merik Tadros,Justin Zaccaria,Anya Avaeva,nes Dali, 8.3
Brian Large,Marilyn Horne,Susan Patterson,Kathleen Kuhlmann,Sandra Walker, 7.4
Steven Hilliard Stern,Carrie Snodgress,Dick Shawn,Edie Adams,Jed Allan, 6.9
Kurt Neumann,Tom Brown,Maureen O'Sullivan,James Gleason,Andy Devine,7.8
Daniel Hogg,Evan Fabri,Geoff Melnychuk,Heidi V Smith,Mitch Holloway,5.1
Paul Henreid,Mary Murphy,Norma Eberhardt,Mike Connors,Sheridan Comerate,6.6
Dave Schram,Abbey Hoes,Ko Zandvliet,Mingus Dagelet,Juliet Daalder,4.9
Kamal Ahmed,Stuart Rudin,Nick Ramus,Jim Fletcher,William Smith,3.5
Jeff Centauri,Dale DaBone,Noname Jane,Voodoo,Andre McCoy,4.4
Phillip Dye,Jackie Chan,Greg O'Neil,Chris Tucker,Brett Ratner,7.0
Vjekoslav Katusin,Vjekoslav Katusin,Fred Eckhardt,Julia Liebeck,Steffen Probst,8.5
Pasquale Marrazzo,Giovanni Brignola,Gabrielle Scharnitzky,Elisabetta D'Arco,Rainer Winkelvoss,5.4
Tim Everitt,Simon Rhee,Arlene Montano,Phillip Rhee,Howard Jackson,5.4
Shan-Hsi Ting,Yu Wang,Hsiao-Chuang Kuo,Paul Chang,Yeh Tien,4.9
Malcolm St. Clair,Constance Talmadge,Bryant Washburn,Alice White,Paulette Duval,6.3
Tim Postins,Vin Diesel,Tyrese Gibson,Dwayne Johnson,Sung Kang,8.4
Malik Chibane,Shemss Audat,Frédéric Diefenthal,Lââm,Flore Vannier-Moreau,6.5
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,7.0
Eric Red,Mariel Hemingway,Michael Paré,Mason Gamble,Ken Pogue,5.7
Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,7.1
Michael Ninn,Marco Banderas,Tony DeSergio,Jerry V,Nick Manning,7.8
Neil (XII) Thompson,D.J. Cashmere,Mario DeGasperi,Alexander DiPersia,Richard Leighton,7.3
Julie Delpy,Julie Delpy,Daniel Brühl,William Hurt,Anamaria Marinca,6.3
Juraj Jakubisko,Anna Friel,Karel Roden,Vincent Regan,Hans Matheson,6.0
Andrei Konst,Lucas Bond,Pavel Derevyanko,Paul Octavian Diaconescu,Vladimir Grosu,3.2
Brian (II) Topping,Lars Woods,Ella Bowman,Julie Dreyfus,Melissa Reneé Martin,7.9
Ryan Wise,Jon Mikl Thor,Mike Favata,Steve XV Price,Rusty Hamilton,7.0
Hal Kanter,Dan Rowan,Dick Martin,Martha Hyer,Leif Erickson,6.2
K. Raghavendra Rao,Dilip Kumar,Jeetendra,Sridevi,Pran,6.6
Peter McWilliams,John Bassberger,Bette Midler,John Greenberg,James XX Harrison,6.5
Jason (III) Hooper,Charles V Myers,Marc Coats,Daniel Dechaine,Scott Ferguson Greene,6.3
Harry Moses,Glynn Turman,Vincent Gardenia,Craig Wasson,Howard E. Rollins Jr.,6.4
Radu Mihai,Pavle Cemerikic,Nebojsa Glogovac,Remus Margineanu,Serban Pavlu,6.6
Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl,7.6
Lambert Hillyer,Lewis Wilson,Douglas Croft,J. Carrol Naish,Shirley Patterson,6.6
Christopher Nolan,Christian Bale,Gary Oldman,Tom Hardy,Joseph Gordon-Levitt,8.5
Christopher Nolan,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,8.3
Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,7.0
Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,5.4
Joel Schumacher,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman,3.7
Biket Ilhan,Memet Ali Alabora,Katerina Moutsatsou,Mustafa Avkiran,Eleni Philippa,5.1
Tikoy Aguiluz,Sarsi Emmanuelle,Suzanne Love,Josephine Manuel,Ronnie Lazaro,7.1
Giuliano Carnimeo,David Warbeck,Janet Agren,Eva Grimaldi,Luisa Menon,4.4
Dick Jane,Scott Koto,Livia Peterson,John Castilone,Elissa Giuliacci,5.5
Yasuhiro Aoki,Kevin Conroy,Jason Marsden,Scott Menville,George Newbern,6.8
André Cayatte,Pascale Audret,Jane Birkin,Serge Gainsbourg,Elsa Martinelli,6.0
Mad Dad Dan,Cal Jammer,Fallon,Madison,Tony Tedeschi,6.6
Greg (II) Morgan,Oscar Torre,Noemi Dunbar,Yvonne Delarosa,Carlos Montilla,7.4
Ethan Spaulding,Jason O'Mara,Stuart Allan,Thomas Gibson,Morena Baccarin,6.7
Artemio Marquez,Dolphy,Shirley Moreno,Boy Alano,Bella Flores,5.5
Yves Ciampi,Pierre Fresnay,Renée Devillers,Jean-Claude Pascal,Claire Duhamel,6.2
John Guillermin,James Coburn,Kate Nelligan,Fionnula Flanagan,Leslie Carlson,6.1
Alexander (II) Gray,Alan Burnett,Mike Carlin,Dan Didio,William Dozier,7.8
Enrique Dawi,Moria Casán,Emilio Disi,Gino Renni,Alberto Fernández de Rosa,6.1
